idissuelink,issuekey,linkedIssueKey,name
357,CONF-33997,CONF-35214,is related to
358,CONF-34406,CONF-32525,is related to
359,CONF-34408,CONF-36746,is duplicated by
360,CONF-34408,CONF-35077,is related to
361,CONF-34408,CONF-34398,is related to
362,CONF-34568,CONF-2455,relates to
363,CONF-34568,CONF-34441,is related to
364,CONF-34764,CONF-33057,relates to
365,CONF-34780,CONF-36039,relates to
366,CONF-34835,CONF-34244,duplicates
367,CONF-34835,CONF-34522,is duplicated by
368,CONF-34870,CONF-35040,relates to
369,CONF-34870,CONF-35096,relates to
370,CONF-34870,CONF-34233,relates to
371,CONF-34870,CONF-35396,is related to
372,CONF-35313,CONF-35373,is duplicated by
373,CONF-35313,CONF-35586,is duplicated by
374,CONF-35596,CONF-13294,relates to
375,CONF-35945,CONF-32451,duplicates
376,CONF-35945,CONF-36997,duplicates
377,CONF-36334,CONF-36504,relates to
378,CONF-36415,CONF-36841,duplicates
379,CONF-36415,CONF-36865,is duplicated by
380,CONF-36415,CONF-36992,relates to
381,CONF-36430,CONF-36484,relates to
382,CONF-36430,CONF-36588,relates to
383,CONF-36547,CONF-32525,relates to
384,CONF-36695,CONF-36694,is related to
385,CONF-37402,CONF-32697,is a regression of
386,CONF-37728,CONF-38104,incorporates
387,CONF-4063,CONF-17212,blocks
388,CONF-4063,CONF-20157,blocks
389,CONF-4063,CONF-12437,causes
390,CONF-4063,CONF-18568,causes
391,CONF-4063,CONF-5567,is duplicated by
392,CONF-4063,CONF-7288,is duplicated by
393,CONF-4063,CONF-9159,is incorporated by
394,CONF-4063,CONF-30228,relates to
395,CONF-4063,CONF-2191,relates to
396,CONF-4063,JRA-1549,is related to
397,CONF-5599,CONF-10674,causes
398,CONF-5599,CONF-3149,duplicates
399,CONF-5599,CONF-5959,is duplicated by
400,CONF-5599,CONF-5594,is duplicated by
401,CONF-5599,CONF-14684,relates to
402,CONF-5599,CONF-28274,relates to
403,CONF-5599,CONF-24788,is related to
404,CONF-5599,CONF-27956,is related to
405,CONF-5599,CONF-1727,is a regression of
406,CONF-6404,CONF-25125,causes
407,CONF-6404,CONF-27855,causes
408,CONF-6404,CONF-27265,causes
409,CONF-6404,CONF-28615,was cloned as
410,CONF-6404,CONF-7668,is duplicated by
411,CONF-6404,CONF-26977,is duplicated by
412,CONF-6404,CONF-18990,is duplicated by
413,CONF-6404,CONF-10769,relates to
414,CONF-6404,CONF-26480,relates to
415,CONF-6404,CONF-28615,has a regression in
416,CONF-7526,CONF-21639,is duplicated by
417,CONF-7526,CONF-24583,is duplicated by
418,CONF-7526,CONF-35756,relates to
419,CONF-7526,CONF-21646,is related to
420,CONF-7526,CONF-9450,is related to
421,CONF-7612,CONF-33065,is duplicated by
422,CONF-7612,CONF-24377,is duplicated by
423,CONF-7612,CONF-28801,is duplicated by
424,CONF-7612,CONF-12307,is duplicated by
425,CONF-7612,CONF-9362,is duplicated by
426,CONF-7612,CONF-23336,incorporates
427,CONF-7612,CONF-7994,incorporates
428,CONF-7612,CONF-6810,relates to
429,CONF-7612,CONF-31936,is related to
430,CONF-9281,CONF-13021,is duplicated by
431,CONF-9281,CONF-33310,relates to
432,CONF-9281,CONF-30411,is related to
433,CQ-1002,CQ-725,is caused by
434,CQ-1011,CQ-1069,is duplicated by
435,CQ-1085,CQ-930,is cloned from
436,CQ-1085,CQ-1256,is duplicated by
437,CQ-1085,CQ-495,is related to
438,CQ-1108,CQ-1157,is duplicated by
439,CQ-1108,CQ-1176,is duplicated by
440,CQ-1108,CQ-1149,is related to
441,CQ-1108,CQ-1164,is related to
442,CQ-1117,CQ-1120,is related to
443,CQ-1120,CQ-1117,relates to
444,CQ-1131,CQ-1139,is duplicated by
445,CQ-1131,CQ-1180,is duplicated by
446,CQ-1155,CQ-1166,is duplicated by
447,CQ-1163,CQ-1296,causes
448,CQ-1163,CQ-1184,is related to
449,CQ-1189,CQ-233,duplicates
450,CQ-1189,CQ-603,supersedes
451,CQ-1201,CQ-1156,relates to
452,CQ-1219,CQ-1341,is related to
453,CQ-1257,CQ-1850,relates to
454,CQ-1281,CQ-1332,blocks
455,CQ-1334,CQ-1316,is caused by
456,CQ-1340,CQ-1316,is caused by
457,CQ-1379,CQ-985,duplicates
458,CQ-236,CQ-421,is duplicated by
459,CQ-236,CQ-386,is duplicated by
460,CQ-251,CQ-407,is duplicated by
461,CQ-251,CQ-408,is duplicated by
462,CQ-254,CQ-319,is duplicated by
463,CQ-254,CQ-480,relates to
464,CQ-254,CQ-316,is related to
465,CQ-263,CQ-275,is related to
466,CQ-263,CQ-526,is related to
467,CQ-263,CQ-405,supersedes
468,CQ-270,CQ-597,is duplicated by
469,CQ-316,CQ-480,relates to
470,CQ-316,CQ-254,relates to
471,CQ-338,CQ-434,is duplicated by
472,CQ-338,CQ-344,is duplicated by
473,CQ-344,CQ-338,duplicates
474,CQ-361,JSD-35,blocks
475,CQ-378,CQ-774,has a derivative of
476,CQ-378,CQ-775,has a derivative of
477,CQ-378,CQ-776,has a derivative of
478,CQ-378,CQ-777,has a derivative of
479,CQ-383,CQ-486,is blocked by
480,CQ-383,CQ-411,relates to
481,CQ-383,CQ-821,relates to
482,CQ-383,CQ-1045,is related to
483,CQ-398,CQ-32,is duplicated by
484,CQ-411,CQ-904,is duplicated by
485,CQ-411,CQ-486,is incorporated by
486,CQ-411,CQ-821,relates to
487,CQ-411,CQ-1135,is related to
488,CQ-411,CQ-383,is related to
489,CQ-440,CQ-422,is duplicated by
490,CQ-443,CQ-441,is duplicated by
491,CQ-519,CQ-569,is duplicated by
492,CQ-523,CQ-522,is duplicated by
493,CQ-524,CQ-629,is duplicated by
494,CQ-535,CONF-33673,is caused by
495,CQ-536,CONF-31202,relates to
496,CQ-541,CQ-565,blocks
497,CQ-541,CQ-119,duplicates
498,CQ-541,CQ-119,relates to
499,CQ-55,CQ-836,relates to
500,CQ-56,CQ-389,blocks
501,CQ-565,CQ-541,is blocked by
502,CQ-598,CQ-1878,is cloned from
503,CQ-599,CQ-84,duplicates
504,CQ-60,CQ-406,is duplicated by
505,CQ-635,CQ-926,is related to
506,CQ-636,CQ-782,causes
507,CQ-636,CQ-374,is duplicated by
508,CQ-692,CQ-800,is related to
509,CQ-718,CQ-781,is duplicated by
510,CQ-746,CQ-518,is duplicated by
511,CQ-755,CQ-1958,was cloned as
512,CQ-773,CQ-835,has a derivative of
513,CQ-773,CQ-825,is duplicated by
514,CQ-773,CQ-771,relates to
515,CQ-773,CQ-910,relates to
516,CQ-774,CQ-378,derived from
517,CQ-775,CQ-378,derived from
518,CQ-776,CQ-378,derived from
519,CQ-777,CQ-378,derived from
520,CQ-781,CQ-718,duplicates
521,CQ-782,CQ-636,is caused by
522,CQ-80,CQ-771,causes
523,CQ-80,CQ-352,is duplicated by
524,CQ-809,CQ-459,is duplicated by
525,CQ-811,CQ-893,is duplicated by
526,CQ-812,CQ-813,is incorporated by
527,CQ-813,CQ-812,incorporates
528,CQ-821,CQ-873,relates to
529,CQ-821,CQ-411,is related to
530,CQ-821,CQ-383,is related to
531,CQ-828,CONF-5254,is caused by
532,CQ-835,CQ-773,derived from
533,CQ-848,CQ-851,Discovered while testing
534,CQ-848,CQ-852,Testing discovered
535,CQ-851,CQ-848,Testing discovered
536,CQ-852,CQ-848,Discovered while testing
537,CQ-863,CQ-864,is duplicated by
538,CQ-864,CQ-863,duplicates
539,CQ-870,CQ-906,is duplicated by
540,CQ-870,CQ-1556,is related to
541,CQ-903,CQ-1138,is duplicated by
542,CQ-903,CQ-1221,is duplicated by
543,CQ-903,CQ-808,supersedes
544,CQ-930,CQ-1085,was cloned as
545,CQ-930,CQ-495,is related to
546,CQ-937,CQ-939,is related to
547,CQ-939,CQ-937,relates to
548,CQ-942,CQ-943,is duplicated by
549,CQ-942,CQ-1469,relates to
550,CQ-955,CQ-980,is related to
551,CQ-957,CQ-1208,is duplicated by
552,CQ-985,CQ-1228,is duplicated by
553,CQ-985,CQ-1231,is duplicated by
554,CQ-985,CQ-1379,is duplicated by
555,GHS-10021,GHS-10075,is duplicated by
556,GHS-10021,GHS-10020,is duplicated by
557,GHS-10021,GHS-10036,is duplicated by
558,GHS-10021,GHS-10039,is duplicated by
559,GHS-10021,GHS-10042,is duplicated by
560,GHS-10077,GHS-9380,duplicates
561,GHS-10116,GHS-10124,is duplicated by
562,GHS-10129,GHS-10149,is duplicated by
563,GHS-10129,GHS-10149,is related to
564,GHS-10165,GHS-8061,duplicates
565,GHS-10165,GHS-8061,is duplicated by
566,GHS-10338,GHS-10455,is related to
567,GHS-10349,GHS-9273,is duplicated by
568,GHS-10450,GHS-10535,relates to
569,GHS-10463,GHS-10474,is duplicated by
570,GHS-10463,GHS-10455,incorporates
571,GHS-10524,GHS-10558,is duplicated by
572,GHS-10619,GHS-10624,is related to
573,GHS-10623,JSD-435,causes
574,GHS-10769,GHS-10919,was cloned as
575,GHS-10769,GHS-10778,relates to
576,GHS-10771,GHS-9991,is caused by
577,GHS-10778,JRA-19317,relates to
578,GHS-10778,GHS-10769,is related to
579,GHS-10778,GHS-10919,is related to
580,GHS-1261,GHS-5123,was cloned as
581,GHS-1261,GHS-2473,is duplicated by
582,GHS-1261,GHS-2660,is duplicated by
583,GHS-1261,GHS-3679,is duplicated by
584,GHS-1261,GHS-308,relates to
585,GHS-2785,GHS-2408,relates to
586,GHS-2785,GHS-11649,relates to
587,GHS-3254,GHS-5004,relates to
588,GHS-3772,GHS-4243,is duplicated by
589,GHS-3772,GHS-4010,is related to
590,GHS-3772,GHS-2245,is related to
591,GHS-4503,GHS-4673,is duplicated by
592,GHS-4547,GHS-4641,is related to
593,GHS-4638,GHS-7284,is duplicated by
594,GHS-4638,GHS-8048,is related to
595,GHS-4641,GHS-4547,relates to
596,GHS-4655,GHS-4280,incorporates
597,GHS-4712,GHS-4780,is duplicated by
598,GHS-4765,GHS-4888,was cloned as
599,GHS-4765,GHS-4877,relates to
600,GHS-4768,GHS-4967,incorporates
601,GHS-4768,GHS-4971,incorporates
602,GHS-4780,GHS-4712,duplicates
603,GHS-4784,GHS-4679,duplicates
604,GHS-4784,GHS-4948,duplicates
605,GHS-4784,GHS-4679,is related to
606,GHS-4823,GHS-4857,relates to
607,GHS-4849,JRA-28032,is caused by
608,GHS-4849,JRA-28032,relates to
609,GHS-4877,GHS-4765,is related to
610,GHS-4877,GHS-4888,is related to
611,GHS-4877,GHS-4407,supersedes
612,GHS-4877,GHS-4449,supersedes
613,GHS-4887,JRA-27879,relates to
614,GHS-4887,BON-1011,is related to
615,GHS-4888,GHS-4765,is cloned from
616,GHS-4888,GHS-4877,relates to
617,GHS-4895,BON-1011,is related to
618,GHS-4898,JRA-26555,relates to
619,GHS-4906,GHS-4531,supersedes
620,GHS-4911,GHS-4971,incorporates
621,GHS-4916,GHS-6034,is related to
622,GHS-4919,GHS-5012,causes
623,GHS-4919,GHS-5014,causes
624,GHS-4919,GHS-4971,incorporates
625,GHS-4920,GHS-4959,is related to
626,GHS-4938,GHS-4934,duplicates
627,GHS-4939,GHS-4935,is duplicated by
628,GHS-4951,GHS-4956,is incorporated by
629,GHS-4951,GHS-5496,is related to
630,GHS-4959,GHS-4920,relates to
631,GHS-4959,GHS-4921,relates to
632,GHS-4966,GHS-5132,is duplicated by
633,GHS-4967,GHS-4768,is incorporated by
634,GHS-4971,GHS-4768,is incorporated by
635,GHS-4971,GHS-4911,is incorporated by
636,GHS-4971,GHS-4919,is incorporated by
637,GHS-4977,GHS-5026,relates to
638,GHS-5004,GHS-3254,is related to
639,GHS-5012,GHS-4919,is caused by
640,GHS-5014,GHS-4919,is caused by
641,GHS-5026,GHS-4977,is related to
642,GHS-5027,GHS-3951,duplicates
643,GHS-5049,GHS-5050,duplicates
644,GHS-5058,GHS-5061,duplicates
645,GHS-5058,GHS-5283,relates to
646,GHS-5080,GHS-5083,relates to
647,GHS-5091,GHS-5220,relates to
648,GHS-5115,GHS-4965,is duplicated by
649,GHS-5115,GHS-5092,is duplicated by
650,GHS-5118,GHS-5117,is related to
651,GHS-5180,GHS-5191,is duplicated by
652,GHS-5191,GHS-5180,duplicates
653,GHS-5198,JRA-28355,was cloned as
654,GHS-5198,JRA-29695,is related to
655,GHS-5220,GHS-5088,incorporates
656,GHS-5220,GHS-5091,is related to
657,GHS-5221,GHS-5252,has a derivative of
658,GHS-5234,GHS-5511,was cloned as
659,GHS-5252,GHS-5349,was cloned as
660,GHS-5252,GHS-5221,derived from
661,GHS-5258,GHS-5261,duplicates
662,GHS-5301,GHS-6309,relates to
663,GHS-5349,GHS-5252,is cloned from
664,GHS-5394,JRA-29298,relates to
665,GHS-5413,GHS-5241,is duplicated by
666,GHS-5440,GHS-5512,relates to
667,GHS-5499,GHS-6002,is related to
