idissuelink,issuekey,linkedIssueKey,name
449,DATAMONGO-1087,DATAMONGO-1121,relates to
450,DATAMONGO-1088,DATAMONGO-1078,duplicates
451,DATAMONGO-1090,DATAMONGO-1170,is superseded by
452,DATAMONGO-1105,DATACMNS-587,depends on
453,DATAMONGO-1110,DATAMONGO-1138,is duplicated by
454,DATAMONGO-1112,DATAMONGO-479,depends on
455,DATAMONGO-1113,DATAMONGO-1135,relates to
456,DATAMONGO-1120,DATAMONGO-1126,is duplicated by
457,DATAMONGO-1120,DATAMONGO-1080,is related to
458,DATAMONGO-1121,DATAMONGO-1124,relates to
459,DATAMONGO-1121,DATAMONGO-1087,is related to
460,DATAMONGO-1124,DATAMONGO-1121,is related to
461,DATAMONGO-1126,DATAMONGO-1120,duplicates
462,DATAMONGO-1130,DATACMNS-628,depends on
463,DATAMONGO-1130,DATAMONGO-1131,duplicates
464,DATAMONGO-1131,DATACMNS-628,depends on
465,DATAMONGO-1131,DATAMONGO-1130,is duplicated by
466,DATAMONGO-1134,DATAMONGO-626,relates to
467,DATAMONGO-1135,DATAMONGO-1136,depends on
468,DATAMONGO-1135,DATAMONGO-626,relates to
469,DATAMONGO-1135,DATAMONGO-1113,is related to
470,DATAMONGO-1136,DATAMONGO-1135,is depended on by
471,DATAMONGO-1137,DATAMONGO-626,is depended on by
472,DATAMONGO-1143,DATAMONGO-1145,relates to
473,DATAMONGO-1144,DATAMONGO-1145,relates to
474,DATAMONGO-1145,DATAMONGO-1144,is related to
475,DATAMONGO-1145,DATAMONGO-1143,is related to
476,DATAMONGO-1146,DATACMNS-636,is related to
477,DATAMONGO-1148,DATAREST-470,relates to
478,DATAMONGO-1154,DATAMONGO-1155,relates to
479,DATAMONGO-1155,DATAMONGO-1154,is related to
480,DATAMONGO-1165,DATACMNS-650,relates to
481,DATAMONGO-1167,DATACMNS-554,relates to
482,DATAMONGO-1192,DATACMNS-613,is related to
483,DATAMONGO-1193,DATAMONGO-1194,relates to
484,DATAMONGO-1194,DATAMONGO-1193,is related to
485,DATAMONGO-1197,DATACMNS-676,is related to
486,DATAMONGO-1209,DATAMONGO-1210,is superseded by
487,DATAMONGO-1210,DATAMONGO-1269,relates to
488,DATAMONGO-1210,DATAMONGO-1209,supersedes
489,DATAMONGO-1211,DATACMNS-542,is related to
490,DATAMONGO-1213,DATACMNS-687,is related to
491,DATAMONGO-1216,DATAMONGO-1259,relates to
492,DATAMONGO-1216,DATAMONGO-1218,is related to
493,DATAMONGO-1218,DATAMONGO-1216,relates to
494,DATAMONGO-1245,DATAJPA-218,relates to
495,DATAMONGO-1260,DATAMONGO-1259,is related to
496,DATAMONGO-1266,DATACMNS-745,is duplicated by
497,DATAMONGO-1267,DATACMNS-744,is related to
498,DATAMONGO-1269,DATAMONGO-1210,is related to
499,DATAMONGO-348,DATAMONGO-488,relates to
500,DATAMONGO-354,DATAMONGO-410,is duplicated by
501,DATAMONGO-354,DATAMONGO-812,is related to
502,DATAMONGO-367,DATAMONGO-899,is related to
503,DATAMONGO-392,DATAMONGO-459,is duplicated by
504,DATAMONGO-392,DATAMONGO-407,relates to
505,DATAMONGO-392,DATAMONGO-724,relates to
506,DATAMONGO-404,DATAMONGO-855,is related to
507,DATAMONGO-407,DATAMONGO-807,relates to
508,DATAMONGO-407,DATAMONGO-392,is related to
509,DATAMONGO-410,DATAMONGO-354,duplicates
510,DATAMONGO-420,DATAMONGO-1072,is related to
511,DATAMONGO-471,DATAMONGO-812,relates to
512,DATAMONGO-479,DATAMONGO-1112,is depended on by
513,DATAMONGO-479,DATACMNS-614,is related to
514,DATAMONGO-566,DATACMNS-448,is related to
515,DATAMONGO-616,DATAMONGO-899,is related to
516,DATAMONGO-647,DATAMONGO-888,is related to
517,DATAMONGO-660,DATAMONGO-986,is duplicated by
518,DATAMONGO-660,DATAMONGO-841,relates to
519,DATAMONGO-660,DATAMONGO-719,relates to
520,DATAMONGO-688,DATACMNS-342,depends on
521,DATAMONGO-712,DATACMNS-637,depends on
522,DATAMONGO-712,DATAMONGO-1116,relates to
523,DATAMONGO-712,DATACMNS-332,is related to
524,DATAMONGO-712,DATAMONGO-682,is related to
525,DATAMONGO-719,DATAMONGO-841,relates to
526,DATAMONGO-719,DATAMONGO-660,is related to
527,DATAMONGO-721,DATACMNS-345,depends on
528,DATAMONGO-724,DATAMONGO-392,is related to
529,DATAMONGO-731,DATACMNS-350,depends on
530,DATAMONGO-757,DATAMONGO-788,relates to
531,DATAMONGO-778,DATAMONGO-626,relates to
532,DATAMONGO-778,DATAMONGO-785,supersedes
533,DATAMONGO-780,DATACMNS-90,depends on
534,DATAMONGO-785,DATAMONGO-626,relates to
535,DATAMONGO-785,DATAMONGO-778,is superseded by
536,DATAMONGO-787,SPR-11031,is related to
537,DATAMONGO-788,DATAMONGO-757,is related to
538,DATAMONGO-792,DATACMNS-389,depends on
539,DATAMONGO-793,DATACMNS-392,depends on
540,DATAMONGO-795,DATAMONGO-881,relates to
541,DATAMONGO-807,DATAMONGO-407,is related to
542,DATAMONGO-811,DATAMONGO-852,relates to
543,DATAMONGO-812,DATAMONGO-354,relates to
544,DATAMONGO-812,DATAMONGO-832,relates to
545,DATAMONGO-812,DATAMONGO-471,is related to
546,DATAMONGO-822,DATACMNS-416,depends on
547,DATAMONGO-827,DATAMONGO-899,depends on
548,DATAMONGO-830,DATACMNS-518,is related to
549,DATAMONGO-833,DATACMNS-451,is related to
550,DATAMONGO-834,DATAMONGO-924,is related to
551,DATAMONGO-843,DATAMONGO-901,relates to
552,DATAMONGO-843,DATACMNS-455,relates to
553,DATAMONGO-850,DATAMONGO-937,depends on
554,DATAMONGO-850,DATAMONGO-973,is depended on by
555,DATAMONGO-850,DATAMONGO-976,is depended on by
556,DATAMONGO-850,DATAMONGO-968,relates to
557,DATAMONGO-852,DATAMONGO-811,is related to
558,DATAMONGO-856,DATAMONGO-384,is related to
559,DATAMONGO-856,DATAMONGO-839,is related to
560,DATAMONGO-858,DATACMNS-437,depends on
561,DATAMONGO-862,DATACMNS-243,depends on
562,DATAMONGO-866,DATACMNS-486,depends on
563,DATAMONGO-870,DATACMNS-397,depends on
564,DATAMONGO-871,DATACMNS-460,depends on
565,DATAMONGO-881,DATAMONGO-795,is related to
566,DATAMONGO-887,DATACMNS-479,depends on
567,DATAMONGO-888,DATAMONGO-647,relates to
568,DATAMONGO-895,DATAMONGO-910,relates to
569,DATAMONGO-895,DATAMONGO-896,is related to
570,DATAMONGO-896,DATAMONGO-910,relates to
571,DATAMONGO-896,DATAMONGO-895,relates to
572,DATAMONGO-899,DATAMONGO-909,is depended on by
573,DATAMONGO-899,DATAMONGO-827,is depended on by
574,DATAMONGO-899,DATAMONGO-616,relates to
575,DATAMONGO-899,DATAMONGO-367,relates to
576,DATAMONGO-899,DATAMONGO-929,is related to
577,DATAMONGO-901,DATAMONGO-843,is related to
578,DATAMONGO-909,DATAMONGO-899,depends on
579,DATAMONGO-910,DATAMONGO-895,is related to
580,DATAMONGO-910,DATAMONGO-896,is related to
581,DATAMONGO-917,SPR-11726,is related to
582,DATAMONGO-924,DATAMONGO-834,relates to
583,DATAMONGO-925,DATAMONGO-928,is related to
584,DATAMONGO-928,DATAMONGO-925,relates to
