issuekey,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,ProgressTime,RemainingDay,topic_10,topic_100,topic_200,topic_300,topic_400
MULE-4921,0,"2010-06-28 00:00:00",Bug,0,0,8,20,Blocker,1,0,1,0,1,0,0,1,0.6758241758241759,0,11,186,6,13,30,293,304
RESTX-15,0,"2010-06-28 00:00:00",Improvement,27,0,0,4,"To be reviewed",0,0,1,2,0,0,0,0,0.8,0,80,21,10,93,70,262,378
RESTX-16,0,"2010-06-28 00:00:00",NewFeature,27,0,0,4,"To be reviewed",1,0,1,2,0,0,0,0,0.8,0,80,21,10,85,14,205,378
MULE-4924,28,"2010-06-30 00:00:00",Bug,15,0,12,4,Minor,4,1,2,1,1,0,0,1,0.8,0,15,34,9,14,147,228,210
MULE-4925,159,"2010-06-30 00:00:00",Improvement,0,0,93,21,Major,1,0,2,1,1,0,0,1,0,0,0,50,3,69,79,192,329
MULE-4927,28,"2010-07-01 00:00:00",Bug,1,0,22,5,Major,4,1,2,0,1,0,0,1,0.8333333333333334,1,1,47,9,14,147,104,210
MULE-4928,0,"2010-07-01 00:00:00",Bug,274,0,17,20,Blocker,2,1,1,7,0,0,0,1,0.5238095238095238,1,137,57,9,43,127,187,52
RESTX-22,0,"2010-07-01 00:00:00",NewFeature,19,0,0,6,"To be reviewed",0,0,1,1,0,0,0,0,0.8571428571428571,0,57,4,8,98,178,119,245
MULE-4931,22,"2010-07-02 00:00:00",Bug,0,0,9,12,Critical,0,0,1,0,0,0,0,1,0.5981012658227848,0,0,74,2,80,100,291,326
MULE-4932,0,"2010-07-02 00:00:00",NewFeature,0,0,17,23,Major,0,1,1,0,0,0,0,1,0.7434094903339191,0,0,7,3,42,182,80,215
MULE-4933,0,"2010-07-03 00:00:00",NewFeature,12,0,17,24,Blocker,0,1,1,0,0,0,0,1,0.743859649122807,0,12,35,3,38,104,285,192
MULE-4934,0,"2010-07-03 00:00:00",NewFeature,16,0,17,24,Blocker,1,1,1,0,0,0,0,1,0.743859649122807,0,16,31,3,74,121,264,269
MULE-4935,0,"2010-07-03 00:00:00",NewFeature,16,0,17,24,Blocker,0,1,1,0,0,0,0,1,0.743859649122807,0,16,31,3,89,125,231,277
MULE-4936,0,"2010-07-03 00:00:00",NewFeature,14,0,17,24,Blocker,0,1,1,1,0,0,0,1,0.743859649122807,0,40,7,3,42,179,241,376
MULE-4937,0,"2010-07-03 00:00:00",NewFeature,8,0,17,24,Critical,1,1,1,1,0,0,0,1,0.743859649122807,0,23,24,3,38,156,241,61
MULE-4938,0,"2010-07-03 00:00:00",NewFeature,8,0,17,24,Critical,1,1,1,1,1,0,0,1,0.743859649122807,0,23,24,3,93,192,15,362
MULE-4939,0,"2010-07-05 00:00:00",Bug,1,0,30,6,Minor,2,1,1,2,0,0,0,2,0.8571428571428571,0,1,43,5,75,197,288,138
MULE-4940,56,"2010-07-06 00:00:00",Improvement,0,0,17,21,Major,2,0,1,0,0,0,0,1,0.4939516129032258,0,0,3,3,87,173,264,165
MULE-4941,0,"2010-07-07 00:00:00",Bug,0,0,17,22,Major,2,1,1,0,1,0,0,1,0.5254237288135594,0,1,42,6,80,26,293,288
RESTX-34,0,"2010-07-07 00:00:00",Improvement,0,0,0,7,"To be reviewed",0,0,1,0,0,0,0,0,0.875,0,0,23,2,80,192,263,201
MULE-4942,0,"2010-07-08 00:00:00",Bug,4,1,9,12,Major,3,1,1,2,0,0,0,1,0.7465277777777778,0,216,36,8,98,157,226,377
MULE-4945,56,"2010-07-08 00:00:00",Task,0,0,17,23,Major,1,0,1,0,1,0,0,1,0.7465277777777778,0,0,1,2,96,152,171,351
RESTX-35,0,"2010-07-08 00:00:00",Improvement,0,0,0,7,"To be reviewed",0,0,1,0,0,0,0,0,0.8888888888888888,0,0,22,7,60,115,233,397
MULE-4946,0,"2010-07-09 00:00:00",Task,0,0,8,5,Minor,1,1,1,1,0,0,0,1,0.49295774647887325,0,0,41,3,89,161,218,207
MULE-4947,0,"2010-07-09 00:00:00",Bug,0,0,17,24,Major,1,1,1,1,0,0,0,1,0.527027027027027,0,0,0,5,83,186,126,257
MULE-4949,2,"2010-07-09 00:00:00",Bug,0,0,79,5,Major,2,0,1,0,1,0,0,1,0.527027027027027,0,32,35,8,34,175,166,376
RESTX-36,0,"2010-07-09 00:00:00",Improvement,7,0,0,7,"To be reviewed",0,0,1,0,0,0,0,0,0.9,0,19,2,8,80,26,293,60
MULE-4954,0,"2010-07-12 00:00:00",Improvement,0,0,0,1,Minor,2,1,1,3,0,0,0,1,0.4939759036144578,0,49,15,9,82,195,268,295
MULE-4955,14,"2010-07-12 00:00:00",Bug,0,2,27,6,Major,0,1,2,0,2,0,0,1,0.875,0,0,37,9,14,147,104,210
MULE-4956,0,"2010-07-13 00:00:00",Bug,25,0,9,22,Minor,2,1,1,1,0,0,0,1,0,0,73,49,5,74,116,168,83
RESTX-37,0,"2010-07-13 00:00:00",Improvement,0,0,0,8,"To be reviewed",1,0,1,0,0,0,0,1,0.9090909090909091,0,0,17,2,80,168,260,392
MULE-4957,0,"2010-07-14 00:00:00",Improvement,71,0,9,23,Minor,2,1,1,1,0,0,0,1,0,0,71,50,3,71,167,102,36
MULE-4958,0,"2010-07-14 00:00:00",Task,2,0,9,23,Major,2,1,1,1,0,0,0,1,0.6775956284153005,0,6,30,1,77,125,193,385
MULE-4959,0,"2010-07-14 00:00:00",Bug,100,0,9,23,Major,2,1,2,2,0,0,0,1,0,0,100,21,10,87,175,292,309
