issuekey,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,ProgressTime,RemainingDay,topic_10,topic_100,topic_200,topic_300,topic_400
JRA-12067,0,"2007-02-03 00:00:00",Bug,5,0,0,7,Major,9,0,1,1,0,0,0,1,0,0,6,13,4,37,139,290,395
JRA-12075,0,"2007-02-05 00:00:00",Suggestion,0,0,0,4,NULL,0,0,1,1,0,0,0,1,0.3333333333333333,0,32,60,8,92,132,15,271
CWD-152,0,"2007-02-05 00:00:00",Bug,0,0,0,0,Major,1,0,1,0,0,0,0,1,0.3333333333333333,0,0,3,6,99,186,288,332
JRA-12086,0,"2007-02-06 00:00:00",Bug,1,0,0,8,Minor,0,1,1,1,1,0,0,1,0,0,1,15,8,95,150,274,8
JRA-12082,0,"2007-02-06 00:00:00",Bug,1,0,0,8,Major,2,0,1,2,1,0,0,1,0,1,1,15,7,15,59,51,252
JRA-12081,0,"2007-02-06 00:00:00",Bug,1,0,0,8,Critical,2,1,1,2,1,0,0,0,0.07692307692307693,0,1,15,9,26,154,279,261
JRA-12078,22,"2007-02-06 00:00:00",Suggestion,0,0,0,0,NULL,0,0,1,1,0,0,0,0,0,0,31,4,9,99,186,292,332
JRA-12100,0,"2007-02-07 00:00:00",Bug,1,0,33,1,Trivial,2,0,1,1,1,0,0,1,0,0,1,14,10,16,54,275,305
JRA-12091,0,"2007-02-07 00:00:00",Bug,0,0,0,1,Trivial,0,0,1,1,0,0,0,1,0,0,1,304,1,93,147,296,365
CWD-153,163,"2007-02-07 00:00:00",NewFeature,0,0,12,40,Major,1,0,2,1,1,0,0,0,0.3,0,264,191,2,60,181,151,184
JRA-12114,0,"2007-02-08 00:00:00",Bug,0,0,0,0,Major,1,0,1,1,1,0,0,4,0,0,1,32,9,55,45,116,373
JRA-12113,0,"2007-02-08 00:00:00",Bug,0,0,0,2,Major,2,0,1,1,2,0,0,4,0,0,0,14,9,55,197,116,373
JRA-12112,0,"2007-02-08 00:00:00",Bug,0,0,0,0,Minor,0,1,1,1,2,0,0,4,0,2,1,32,9,63,111,241,373
JRA-12109,0,"2007-02-08 00:00:00",Suggestion,0,0,0,0,NULL,1,0,1,1,5,0,0,0,0.3333333333333333,0,173,1463,2,85,153,271,133
JRA-12107,0,"2007-02-08 00:00:00",Bug,0,0,0,7,Minor,2,0,1,1,2,0,0,1,0,0,0,14,10,91,93,214,339
CWD-154,0,"2007-02-08 00:00:00",NewFeature,34,0,11,51,Major,0,0,1,1,0,0,0,0,0.36363636363636365,0,101,31,6,91,122,286,94
JRA-12130,0,"2007-02-09 00:00:00",Bug,2,1,0,4,Major,0,0,1,1,1,0,0,4,0,0,2,11,9,90,191,239,390
JRA-12128,0,"2007-02-09 00:00:00",Bug,0,0,0,5,Minor,1,0,1,1,2,0,0,1,0,0,2,11,8,48,94,294,397
JRA-12124,0,"2007-02-09 00:00:00",Bug,1,0,0,4,Blocker,2,1,1,1,2,0,0,1,0,0,2,11,8,13,145,193,37
JRA-12123,0,"2007-02-09 00:00:00",Bug,3,0,0,3,Major,3,1,1,1,0,0,0,0,0,0,3,29,10,68,164,233,384
JRA-12121,0,"2007-02-09 00:00:00",Suggestion,658,0,0,0,NULL,10,0,1,1,4,0,0,0,0.2,0,1974,4,5,93,82,225,30
CWD-156,0,"2007-02-09 00:00:00",Bug,0,0,33,3,Major,4,0,1,1,2,0,0,1,0,0,37,575,5,81,111,259,344
