issuekey,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,ProgressTime,RemainingDay,topic_10,topic_100,topic_200,topic_300,topic_400
FCREPO-474,0,"2009-04-07 00:00:00",Story,0,0,18,7,Minor,1,0,1,1,0,0,0,0,0,0,0,510,10,40,128,257,356
FCREPO-476,151,"2009-04-14 00:00:00",Story,0,1,0,0,Major,0,0,1,0,3,1,1,0,0.7741935483870968,0,28,6,8,61,133,299,234
FCREPO-475,0,"2009-04-14 00:00:00",Bug,0,0,18,6,Blocker,0,1,1,1,0,0,0,1,0.8648648648648649,1,2,22,10,91,142,151,384
FCREPO-477,189,"2009-04-16 00:00:00",Bug,0,1,17,7,Minor,0,0,1,0,0,0,0,3,0,0,26,6,5,100,13,170,381
FCREPO-482,0,"2009-04-20 00:00:00",Bug,0,0,6,5,Minor,2,0,1,0,1,0,0,1,0,0,0,18,3,72,133,299,234
FCREPO-478,177,"2009-04-20 00:00:00",Bug,0,1,100,1,Major,1,0,1,0,0,0,0,3,0,0,22,6,6,95,189,196,183
FCREPO-484,0,"2009-04-21 00:00:00",Story,0,0,18,7,Major,2,0,1,0,0,0,0,0,0.868421052631579,0,6,11,2,93,171,103,288
FCREPO-483,0,"2009-04-21 00:00:00",Story,107,0,20,4,Critical,1,0,1,1,0,0,0,0,0.45454545454545453,0,320,166,9,88,168,194,392
DS-195,0,"2009-04-23 00:00:00",NewFeature,2,0,0,0,Minor,1,0,1,0,0,0,0,0,0.5,0,5,0,4,88,26,146,364
DS-196,0,"2009-04-27 00:00:00",Improvement,0,0,0,1,Major,1,0,1,0,1,0,0,1,0.6666666666666666,0,0,1,7,32,99,256,62
FCREPO-487,0,"2009-05-05 00:00:00",Story,0,0,13,1,Blocker,1,0,1,0,1,0,0,0,0.7142857142857143,0,3,0,8,89,156,224,218
FCREPO-486,0,"2009-05-05 00:00:00",Bug,0,0,13,1,Blocker,1,0,1,0,2,0,0,1,0.7142857142857143,0,3,0,8,47,193,296,351
FCREPO-601,212,"2009-05-17 00:00:00",Bug,0,1,19,6,Trivial,0,0,1,0,0,0,0,4,0.4,0,0,1,4,94,191,252,376
FCREPO-599,211,"2009-05-17 00:00:00",Bug,0,1,18,4,Major,0,0,1,0,0,0,0,1,0.8113207547169812,0,0,1,9,24,118,72,325
FCREPO-598,211,"2009-05-17 00:00:00","Technical task",0,1,0,0,Minor,0,0,1,0,0,0,0,1,0.625,0,0,1,1,94,170,294,172
FCREPO-595,208,"2009-05-17 00:00:00",Bug,0,1,18,4,Minor,0,0,1,0,0,0,0,3,0.84,0,0,1,4,30,155,297,329
