idissuelink,issuekey,linkedIssueKey,name
575,DOCS-5482,SERVER-16265,documents
576,DOCS-5482,DOCS-5483,related to
577,DOCS-5483,DOCS-5482,is related to
578,DOCS-5491,DOCS-5287,related to
579,DOCS-5491,SERVER-17999,is related to
580,DOCS-5491,SERVER-18639,is related to
581,DOCS-5497,DOCS-5612,is duplicated by
582,DOCS-5497,SERVER-18329,is related to
583,DOCS-5503,DOCS-5182,related to
584,DOCS-5503,DOCS-3341,is related to
585,DOCS-5506,SERVER-18314,is duplicated by
586,DOCS-5510,DOCS-5509,is related to
587,DOCS-5539,DOCS-5470,related to
588,DOCS-5539,DOCS-5226,is related to
589,DOCS-5543,DOCS-5090,is related to
590,DOCS-5570,DOCS-5574,duplicates
591,DOCS-5573,DOCS-5330,duplicates
592,DOCS-5573,DOCS-5330,is related to
593,DOCS-5574,DOCS-5570,is duplicated by
594,DOCS-5574,DOCS-3887,has to be done after
595,DOCS-5575,DOCS-5688,related to
596,DOCS-5591,DOCS-3523,is related to
597,DOCS-5605,DOCS-5482,depends on
598,DOCS-5620,TOOLS-169,is related to
599,DOCS-5622,DOCS-4170,related to
600,DOCS-5622,DOCS-3952,is related to
601,DOCS-5622,DOCS-5665,is related to
