boardid,sprintid,name,vel_diff,planday,no_issue_starttime,vel_starttime,no_issue_added,vel_added,no_issue_removed,vel_removed,no_issuetodo,vel_todo,no_issueinprogress,vel_inprogress,no_issuedone,vel_done,no_admin,no_teammember
490,1171,Sprint 81,-6,7,5,10,0,0,1,2,2,4,1,2,1,2,1,4
490,1191,Sprint 83,-6,7,4,8,0,0,0,0,1,2,2,4,1,2,1,6
490,1341,Sprint 84,-6,14,3,6,0,0,0,0,0,0,3,6,0,0,1,2
490,1381,Sprint 85,0,7,7,14,0,0,0,0,3,6,1,2,3,6,1,5
490,1391,Sprint 87,-20,7,5,10,7,14,0,0,2,4,8,16,2,4,1,5
490,1551,Sprint 88,-2,6,5,10,4,8,0,0,1,2,6,12,2,4,1,3
490,1561,Sprint 89,-12,7,11,22,0,0,0,0,6,12,4,8,1,2,1,4
490,1571,Sprint 90,-10,14,9,18,2,4,0,0,5,10,2,4,4,8,1,4
490,1601,Sprint 92,-4,7,2,4,0,0,0,0,0,0,2,4,0,0,1,2
490,1631,Sprint 93,-2,8,2,4,0,0,0,0,1,2,1,2,0,0,1,3
490,1841,Sprint 94,2,14,2,4,1,2,0,0,2,4,0,0,1,2,1,3
490,1861,Sprint 95,0,14,1,2,0,0,0,0,0,0,1,2,0,0,1,1
490,1890,Sprint 96,0,14,3,6,0,0,0,0,1,2,1,2,1,2,1,3
490,2180,Sprint 104,-2,7,7,14,0,0,0,0,2,4,2,4,3,6,1,2
541,661,Sprint 1,0,14,1,1,0,0,0,0,1,1,0,0,0,0,1,1
571,41,Sprint 1 - Critical Issues,-2,14,3,3,0,0,0,0,1,1,2,2,0,0,1,4
571,81,Sprint 1,-32,12,11,32,0,0,0,0,11,32,0,0,0,0,1,3
571,91,Sprint 2,-22,14,9,27,0,0,0,0,4,22,0,0,5,5,1,4
571,131,Documentation Sprint,0,18,11,31,0,0,0,0,6,18,0,0,5,13,1,4
571,271,Sprint 1,-28,14,9,71,0,0,0,0,8,55,1,16,0,0,1,3
571,371,Sprint 2,-53,14,12,65,0,0,0,0,9,62,2,2,1,1,1,6
571,561,Sprint for Alpha4,-57,14,22,69,0,0,0,0,17,61,2,5,3,3,1,6
571,661,Sprint 1,1,14,11,21,2,2,3,10,8,11,0,0,2,2,1,6
571,870,Prepare Alpha5 for Release,-1,1,5,5,1,1,0,0,1,1,0,0,5,5,1,2
571,880,Release Alpha5 Sprint,-1,14,1,1,0,0,0,0,1,1,0,0,0,0,1,2
571,890,Prepare for Beta,-1,14,2,2,5,5,0,0,1,1,0,0,6,6,1,1
571,900,Prepare for Beta 2,-1,14,7,7,6,13,1,8,8,8,1,1,3,3,1,2
571,980,Graphene 2.0.0.Beta2,-1,14,4,4,0,0,0,0,1,1,0,0,3,3,1,2
571,1061,Graphene 2.0.0.CR2,-1,14,2,2,2,2,0,0,0,0,1,1,3,3,1,2
571,1121,Graphene 2.0.1 Sprint 1,-21,32,10,21,0,0,0,0,9,20,1,1,0,0,1,4
571,1161,Graphene 2.0.0.Final,0,14,4,4,0,0,2,2,1,1,0,0,1,1,1,2
611,1531,Sprint #3,-4,33,3,6,9,18,0,0,6,12,4,8,2,4,2,2
611,1591,Sprint #4,-26,8,18,36,0,0,0,0,18,36,0,0,0,0,2,5
611,2490,Scripting Sprint,-6,8,14,28,0,0,1,2,12,24,0,0,1,2,2,3
641,1851,Sprint to Beta1 CF,12,31,5,5,2,2,3,3,3,3,1,1,0,0,1,8
641,1920,Sprint to Beta2 Release,0,14,17,17,21,101,15,95,19,19,0,0,4,4,1,21
641,1960,Sprint 20141112,-79,16,28,98,0,0,0,0,28,98,0,0,0,0,1,12
641,2130,Sprint to Beta3 Release,2,40,24,62,24,86,11,91,25,33,3,3,9,21,1,9
641,2240,Sprint to CR1 Release,-67,49,8,45,15,48,0,0,12,82,3,3,8,8,1,13
641,2610,Sprint #1 April 2015,-65,16,10,80,0,0,0,0,10,80,0,0,0,0,1,14
641,2902,2015/S9 (27-Apr > 10-May),0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1
641,2922,Sprint #2 April 2015,-8,11,39,74,20,20,8,43,20,20,7,7,24,24,1,21
641,3002,Sprint #3 May 2015,-96,11,60,129,8,8,2,2,45,96,7,9,14,30,1,19
641,3022,Sprint #4 May 2015,-74,17,62,155,6,6,4,4,49,142,4,4,11,11,1,18
641,3082,08-Jun -> 21-Jun 2015-JBDS/JBT,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
641,3142,22-Jun >> 05-Jul 2015-JBDS/JBT,0,14,0,0,1,1,1,1,0,0,0,0,0,0,1,5
641,3172,Sprint #5 Jun 2015,-31,18,2,4,38,42,2,4,33,37,0,0,5,5,1,17
641,3182,Sprint #6 July 2015,-34,18,40,53,2,39,2,39,40,53,0,0,0,0,1,18
661,990,Sprint 1,-4,5,6,16,0,0,0,0,5,14,0,0,1,2,3,1
661,1101,Sprint 2,-2,2,3,6,0,0,0,0,2,4,0,0,1,2,3,2
661,1131,Sprint 3,-2,4,2,4,0,0,0,0,2,4,0,0,0,0,3,1
661,1211,Sprint 4,-2,5,2,4,0,0,0,0,1,2,1,2,0,0,3,1
661,1271,Sprint 5,-4,4,5,10,1,2,0,0,4,8,0,0,2,4,3,1
661,1311,Sprint 6 w5,0,4,2,4,0,0,0,0,2,4,0,0,0,0,3,1
661,1321,Sprint 7 w4 (CR1 build out),-2,10,5,10,2,4,0,0,6,12,0,0,1,2,3,1
661,1681,2014/S1 (3-Feb > 16-Feb),-4,13,5,10,1,2,0,0,5,10,1,2,0,0,3,3
661,1751,2014/S2 (17-Feb > 2-Mar),0,14,4,8,1,2,0,0,3,6,0,0,2,4,3,3
661,1811,2014/S3 (3-Mar > 16-Mar),-2,14,5,10,0,0,0,0,4,8,0,0,1,2,3,1
661,1821,2014/S4 (17-Mar > 30-Mar),2,13,3,6,0,0,0,0,0,0,1,2,2,4,3,1
661,1831,2014/S5 (31-Mar > 13-Apr),-14,14,7,14,12,24,0,0,13,26,1,2,5,10,3,1
661,1950,2014/S5 (14-Apr > 27-Apr),0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,1
661,2080,2014/S8 (12-May > 25-May),0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,1
661,2090,2014/S9 (26-May > 8-Jun),-6,13,2,4,1,2,0,0,2,4,1,2,0,0,3,2
661,2140,2014/S10 (9-Jun > 22-Jun),0,12,5,10,0,0,3,6,2,4,0,0,0,0,3,2
661,2160,2014/S11 (23-Jun > 6-Jul),0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,2
661,2170,2014/S12 (7-Jul > 20-Jul),-4,14,0,0,2,4,0,0,2,4,0,0,0,0,3,2
661,2300,2014/S13 (21-Jul > 3-Aug),-4,14,5,10,0,0,0,0,4,8,0,0,1,2,3,2
661,2360,2014/S15 (18-Aug > 31-Aug),-2,13,0,0,2,4,0,0,2,4,0,0,0,0,3,1
661,2370,2014/S16 (1-Sep > 14-Sep),-2,6,1,2,0,0,0,0,1,2,0,0,0,0,3,1
661,2470,2014/S17 (15-Sep > 28-Sep),2,12,3,6,0,0,0,0,1,2,0,0,2,4,3,1
661,2520,2014/S18 (29-Sep > 12-Oct),-10,14,8,16,1,2,1,2,1,2,6,12,1,2,3,1
661,2550,2014/S19 (13-Oct > 26-Oct),-2,13,10,20,3,6,0,0,8,16,5,10,0,0,3,2
661,2560,2014/S20 (27-Oct > 9-Nov),-26,13,14,28,2,4,1,2,14,28,1,2,0,0,3,3
661,2620,2014/S21 (10-Nov > 23-Nov),-8,5,12,24,0,0,1,2,8,16,3,6,0,0,3,3
661,2630,2014/S22 (24-Nov > 7-Dec),-4,13,4,8,2,4,0,0,4,8,0,0,2,4,3,1
661,2650,2014/S23 (8-Dec > 21-Dec),0,12,6,12,2,4,0,0,5,10,0,0,3,6,3,3
661,2682,2014/S24 (22-Dec > 04-Jan),-4,13,5,10,0,0,2,4,2,4,0,0,1,2,3,4
661,2692,2015/S1 (05-Jan > 18-Jan),0,13,3,6,0,0,0,0,3,6,0,0,0,0,3,2
661,2702,2015/S2+3 (19-Jan > 15-Feb),0,12,2,4,0,0,0,0,2,4,0,0,0,0,3,1
661,2762,2015/S4 (16-Feb > 01-Mar),4,14,5,10,1,2,0,0,4,8,1,2,1,2,3,1
661,2772,2015/S5 (02-Mar > 15-Mar),-4,13,5,10,1,2,1,2,1,2,2,4,2,4,3,2
661,2782,2015/S6 (16-Mar > 29-Mar),0,14,7,14,1,2,4,8,3,6,0,0,1,2,3,3
661,2852,2015/S7 (30-Mar > 12-Apr),0,11,3,6,4,8,3,6,1,2,1,2,2,4,3,2
661,2872,2015/S8 (13-Apr > 26-Apr),-6,13,7,14,1,2,1,2,2,4,1,2,4,8,3,3
661,2902,2015/S9 (27-Apr > 10-May),0,12,3,6,7,14,10,20,0,0,0,0,0,0,3,3
661,2982,11-May -> 24-May 2015-JBDS/JBT,-14,14,9,18,0,0,0,0,2,4,4,8,3,6,3,5
661,2992,25-May -> 07-Jun 2015-JBDS/JBT,-16,14,14,28,0,0,3,6,5,10,4,8,2,4,3,5
661,3082,08-Jun -> 21-Jun 2015-JBDS/JBT,-12,14,13,26,0,0,0,0,13,26,0,0,0,0,3,3
661,3142,22-Jun >> 05-Jul 2015-JBDS/JBT,-16,14,10,20,0,0,2,4,8,16,0,0,0,0,3,5
661,3202,06-Jul >> 19-Jul 2015-JBDS/JBT,-20,14,11,22,0,0,1,2,10,20,0,0,0,0,3,5
661,3242,20-Jul >> 02-Aug 2015-JBDS/JBT,-8,14,13,26,8,16,7,14,3,6,7,14,4,8,3,4
750,1531,Sprint #3,-4,33,3,6,9,18,0,0,6,12,4,8,2,4,1,2
750,1591,Sprint #4,-26,8,18,36,0,0,0,0,18,36,0,0,0,0,1,5
